"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/15/2025","12/15/2025","12/15/2025","GOOGL","Cash Div: R/D 2025-12-08 P/D 2025-12-15 - 10.758409 shares at 0.21","CDIV","","","$2.26"
"12/12/2025","12/12/2025","12/15/2025","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.001124","$480.06","($0.54)"
"12/11/2025","12/11/2025","12/11/2025","MSFT","Cash Div: R/D 2025-11-20 P/D 2025-12-11 - 0.593119 shares at 0.91","CDIV","","","$0.54"
"12/10/2025","12/10/2025","12/11/2025","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.438981","$113.90","($50.00)"
"12/10/2025","12/10/2025","12/11/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.046374","$1,078.17","($50.00)"
"12/10/2025","12/10/2025","12/11/2025","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.227935","$219.36","($50.00)"
"12/10/2025","12/10/2025","12/11/2025","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.531023","$94.16","($50.00)"
"12/10/2025","12/10/2025","12/11/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.158092","$316.27","($50.00)"
"12/10/2025","12/10/2025","12/11/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.104668","$477.70","($50.00)"
"12/10/2025","12/10/2025","12/11/2025","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.546917","$182.84","($100.00)"
"12/10/2025","12/10/2025","12/11/2025","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.246284","$406.04","($100.00)"
"12/10/2025","12/10/2025","12/11/2025","","ACH Deposit","ACH","","","$500.00"
"12/5/2025","12/5/2025","12/8/2025","AVGO","Broadcom
CUSIP: 11135F101","Buy","1.695674","$388.40","($658.60)"
"12/5/2025","12/5/2025","12/8/2025","LRCX","Lam Research Corp
CUSIP: 512807306","Buy","0.270771","$159.47","($43.18)"
"12/5/2025","12/5/2025","12/8/2025","LRCX","Lam Research Corp
CUSIP: 512807306","Buy","6","$159.47","($956.82)"
"12/5/2025","12/5/2025","12/8/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.339521","$321.22","($109.06)"
"12/5/2025","12/5/2025","12/8/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","9","$321.22","($2,890.94)"
"12/5/2025","12/5/2025","12/8/2025","AMAT","Applied Materials
CUSIP: 038222105","Buy","0.359453","$271.76","($97.68)"
"12/5/2025","12/5/2025","12/8/2025","AMAT","Applied Materials
CUSIP: 038222105","Buy","7","$271.76","($1,902.32)"
"12/1/2025","12/1/2025","12/2/2025","","ACH Deposit","ACH","","","$500.00"
"11/17/2025","11/17/2025","11/17/2025","NFLX","Netflix
CUSIP: 64110L106","SPL","2.2073","",""
"11/10/2025","11/10/2025","11/12/2025","WMT","Walmart
CUSIP: 931142103
Recurring","Buy","0.487995","$102.46","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Recurring","Buy","0.046062","$1,085.48","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","ORCL","Oracle
CUSIP: 68389X105
Recurring","Buy","0.210561","$237.46","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","NFLX","Netflix
CUSIP: 64110L106
Recurring","Buy","0.044721","$1,118.04","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Recurring","Buy","0.172729","$289.47","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","MSFT","Microsoft
CUSIP: 594918104
Recurring","Buy","0.098853","$505.80","($50.00)"
"11/10/2025","11/10/2025","11/12/2025","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.506149","$197.57","($100.00)"
"11/10/2025","11/10/2025","11/12/2025","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.278679","$358.84","($100.00)"
"11/3/2025","11/3/2025","11/4/2025","","ACH Deposit","ACH","","","$500.00"
"10/31/2025","10/31/2025","11/3/2025","META","Meta Platforms
CUSIP: 30303M102","Buy","5","$650.48","($3,252.40)"
"10/31/2025","10/31/2025","11/3/2025","NOK","Nokia
CUSIP: 654902204","Buy","100","$6.91","($691.00)"
"10/31/2025","10/31/2025","11/3/2025","","ACH Deposit","ACH","","","$10,000.00"
"10/31/2025","10/31/2025","11/3/2025","PLTR","Palantir Technologies
CUSIP: 69608A108","Buy","5","$199.60","($998.00)"
"10/27/2025","10/27/2025","10/28/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","15.797788","$189.90","($3,000.00)"
"10/27/2025","10/27/2025","10/28/2025","","ACH Deposit","ACH","","","$3,000.00"
